id_parte,title,categoria,eje,ancho,alto,espesor,diametro,diametro_centrado,taladros,altura_interna,semimetalica,ceramica,low_metal,imagen
M1284,M1284 - Pastillas de Freno Cerámica Delanteras para Renault Symbol II / 410602396r,pastilla,DELANTERO,140.2,41.8 & 40,18,,,,,false,true,false,M1284.svg
M1287,M1287 - Pastillas de Freno Cerámica Delanteras Para Ford,pastilla,DELANTERO,155.2 & 155.7,66.6 & 75.7,18.8,,,,,false,true,false,M1287.svg
M1290,M1290 - Pastillas de Freno Ceramica Delanteras Dodge Chrysler - Mercedes Benz,pastilla,DELANTERO,194.3 & 193.1,64,19,,,,,false,true,false,M1290.svg
M1294,M1294 - Pastillas de Freno Cerámica Delanteras Para Nissan,pastilla,DELANTERO,165.4,59.8,15.8,,,,,true,true,false,M1294.svg
M1305,M1305 - Pastillas de Freno Cerámica Delanteras Para Chevrolet,pastilla,DELANTERO,148,61.1,18.8,,,,,false,true,false,M1305.svg
M1306,M1306 - Pastillas de Freno Cerámica Delanteras para Volkswagen  Audi,pastilla,DELANTERO,160,64.5,20.4,,,,,true,true,false,M1306.svg
M1307,M1307 - Pastillas de Freno Cerámica Traseras para Audi Volkswagen,pastilla,TRASERO,123,61 & 56.2,16,,,,,true,true,false,M1307.svg
M1309,M1309 - Pastillas de Freno Cerámica Delanteras para Renault,pastilla,DELANTERO,132.8,58.7,17.5,,,,,true,true,false,M1309.svg
M131,M131 - Pastillas de Freno Cerámica Delanteras Para Ford  Kia,pastilla,DELANTERO,78.8,63.4,14.2,,,,,false,true,false,M131.svg
M1310,M1310 Grand i10 (2011 - 2022),pastilla,DELANTERO,132.7,50.4,16.7,,,,,true,true,true,M1310.svg
M1313,M1313 - Pastillas de Freno Cerámica Delanteras para Peugeot,pastilla,DELANTERO,147.9,63.3 & 58.2,18.5,,,,,true,true,false,M1313.svg
M1314,M1314 - Pastillas de Freno Cerámica Traseras para Peugeot,pastilla,TRASERO,123,46.2 & 42,15,,,,,true,true,false,M1314.svg
M1315,M1315 - Pastillas de Freno Cerámica Traseras para Citroen Great Wall Haval Peugeot,pastilla,TRASERO,99.1,53.4 & 50,17.5,,,,,true,true,true,M1315.svg
M1322,M1322 - Pastillas de Freno Cerámica Traseras Mercedes Benz,pastilla,TRASERO,118.8,46.2,18.4,,,,,false,true,false,M1322.svg
M1323,M1323 - Pastillas de Freno Cerámica Delanteras Chevrolet,pastilla,DELANTERO,189.7,92.9,16.2,,,,,false,true,false,M1323.svg
M1324,M1324 - Pastillas de Freno Cerámica Delanteras Mazda,pastilla,DELANTERO,131.1,60,15.5,,,,,false,true,false,M1324.svg
M1329,M1329 - Pastillas de Freno Cerámica Traseras Para Suzuki,pastilla,TRASERO,98.5,40,14.3,,,,,true,true,true,M1329.svg
M1334,M1334 - Pastillas de Freno Cerámica Delanteras Renault  Kadjar Nissan Qashqai,pastilla,DELANTERO,141.6,59.2,16.5,,,,,true,true,true,M1334.svg
M1335,M1335 - Pastillas de Freno Cerámica Traseras Nissan  Qashqai J11 - Renault Kadjar,pastilla,TRASERO,103.6,47.3 & 44.9,15.1,,,,,true,true,true,M1335.svg
M1340,M1340 - Pastillas de Freno Cerámica Delanteras Nissan  NP300 - Renault Alaskan,pastilla,DELANTERO,165.7,54,16.8,,,,,true,true,true,M1340.svg
